name,requirements,details,full_address,short_address,street,city,state,zip,phone,hours,tags
07/25 Bloomfield Cares Mobile,Requirements: None.,"Details: Saturday, 12:00 PM - While Supplies Last","First Trinity Lutheran Church: 402 E Main St, Bloomfield, NE 68718","402 E Main St, Bloomfield, NE 68718",402 E Main St,Bloomfield,NE,68718,NA,,Mobile Pantry
07/25 Plainview Ministerial Pantry Mobile,Requirements: None.,"Details: Saturday, 10:30 AM - While Supplies Last","United Methodist Church: 103 W Woodland St, Plainview, NE 68769","103 W Woodland St, Plainview, NE 68769",103 W Woodland St,Plainview,NE,68769,NA,,Mobile Pantry
07/25 Wayne County Mobile,Requirements: None.,"Details: Saturday, 10:00 AM - While Supplies Last","Journey Church: 1110 E 7th St, Wayne, NE 68787","1110 E 7th St, Wayne, NE 68787",1110 E 7th St,Wayne,NE,68787,NA,,Mobile Pantry
07/30 Montgomery County IA Mobile,Requirements: None.,"Details: Wednesday, 03:30 PM - While Supplies Last","Montgomery Fairgrounds: 1798 N 1st St, Red Oak, IA 51566","1798 N 1st St, Red Oak, IA 51566",1798 N 1st St,Red Oak,IA,51566,NA,,Mobile Pantry
Anita Food Pantry,Requirements: TEFAP form if applicable (no ID required to receive USDA/TEFAP food).,Details: USDA/TEFAP Provider.,"208 Chestnut St, Anita, IA 50020","208 Chestnut St, Anita, IA 50020",208 Chestnut St,Anita,IA,50020,(712) 762-3645,"Mon - Fri By appointment; Sat 1st and 3rd Sat of each month, 9:00 am - 11:00 am; Sun By appointment",Food Pantry
Antelope County Food Pantry,Requirements: Sign USDA form (no ID required to receive USDA/TEFAP food).,Details: USDA/TEFAP Provider.,"110 W 5th St, Neligh, NE 68756","110 W 5th St, Neligh, NE 68756",110 W 5th St,Neligh,NE,68756,(402) 843-5307,"Thurs 1st and 3rd Thurs of each month, 11:30 am - 1:30 pm",Food Pantry
Arapahoe Area Pantry,Requirements: None.,Details: USDA/TEFAP Provider.,"210 7th St, Arapahoe, NE 68922","210 7th St, Arapahoe, NE 68922",210 7th St,Arapahoe,NE,68922,(308) 962-7296,Tues 2:00 pm - 4:00 pm; Fri 2:00 pm - 4:00 pm,Food Pantry
Atkinson/Stuart Pantry - West Holt Health Ministries,Requirements: Sign USDA form (no ID required to receive USDA/TEFAP food).,Details: USDA/TEFAP Provider.,"108 State St, Atkinson, NE 68713","108 State St, Atkinson, NE 68713",108 State St,Atkinson,NE,68713,(308) 548-8044,"Wed 1st and 3rd Weds of each month, 11:00 am - 1:00 pm",Food Pantry
Atlantic Food Pantry,Requirements: None.,NA,"19 West 4th St, Atlantic, IA 50022","19 West 4th St, Atlantic, IA 50022",19 West 4th St,Atlantic,IA,50022,(712) 243-2019,Thurs 1:00 pm - 3:00 pm,Food Pantry
Bellevue Food Pantry,Requirements: Sarpy County resident.,NA,"1912 Hancock St, Bellevue, NE 68005","1912 Hancock St, Bellevue, NE 68005",1912 Hancock St,Bellevue,NE,68005,(402) 292-2961,Mon - Tues 9:00 am - 4:00 pm; Wed 9:00 am - 6:00 pm; Thurs 9:00 am - 4:00 pm,Food Pantry
Benson Baptist Pantry,"Requirements: Photo id, social security, proof of residence (no ID required to receive USDA/TEFAP food).",Details: USDA/TEFAP Provider.,"6319 Maple St, Omaha, NE 68104","6319 Maple St, Omaha, NE 68104",6319 Maple St,Omaha,NE,68104,(402) 551-1512,"Sat Last Sat of each month, 9:00 am - 12:00 pm",Food Pantry
Bethesda Sda Temple Pantry,Requirements: None.,Details: USDA/TEFAP Provider.,"3725 Ames Ave, Omaha, NE 68111","3725 Ames Ave, Omaha, NE 68111",3725 Ames Ave,Omaha,NE,68111,(402) 455-0601,"Sat By appointment, 1:00 pm - 5:00 pm",Food Pantry
Black Men United,Requirements: Please call partner for more information.,NA,"4200 N 30th St, Omaha, NE 68111","4200 N 30th St, Omaha, NE 68111",4200 N 30th St,Omaha,NE,68111,(402) 708-9482,Mon Please call partner for more information.,Food Pantry
"Blue Valley Community Action, Inc.",Requirements: Please call partner for more information.,NA,"825 Dorcas St, Omaha, NE 68105","825 Dorcas St, Omaha, NE 68105",825 Dorcas St,Omaha,NE,68105,(402) 587-0050,"Wed 1st and 3rd Weds of each month, 10:00 am - 12:00 pm",Food Pantry
Bridgeport Food Pantry,"Requirements: ID for everyone in household, proof of residency, income verification (no ID required to receive USDA/TEFAP food).",Details: USDA/TEFAP Provider.,"1011 Main St, Bridgeport, NE 69336","1011 Main St, Bridgeport, NE 69336",1011 Main St,Bridgeport,NE,69336,(308) 279-2626,"Thurs 1st, 3rd, 5th Thurs 10:00 am - 1:00 pm; 2nd and 4th Thurs 5:30pm - 7:30pm",Food Pantry
Burwell Food Pantry,Requirements: None.,Details: USDA/TEFAP Provider.,"First Congregational Church: 657 H St, Burwell, NE 68823","657 H St, Burwell, NE 68823",657 H St,Burwell,NE,68823,(308) 214-0861,"Mon Please call partner for more information.; Tues 3rd Tuesday of the month, 3:00 pm - 6:00 pm; Thurs 2nd Thursday 10:30 am-12:30 pm",Food Pantry
Care & Share Pantry,Requirements: TEFAP form if applicable (no ID required to receive USDA/TEFAP food).,Details: USDA/TEFAP Provider.,"1808 5th Ave, Council Bluffs, IA 51503","1808 5th Ave, Council Bluffs, IA 51503",1808 5th Ave,Council Bluffs,IA,51503,(402) 212-7324,Mon 9:30 am - 12:00 pm; Thurs 9:30 am - 12:00 pm,Food Pantry
Care & Share Pantry - Main St,Requirements: TEFAP form if applicable (no ID required to receive USDA/TEFAP food).,Details: USDA/TEFAP Provider.,"600 S Main St, Council Bluffs, IA 51503","600 S Main St, Council Bluffs, IA 51503",600 S Main St,Council Bluffs,IA,51503,(402) 212-7324,Mon 5:30 pm - 7:00 pm; Wed 5:30 pm - 7:00 pm,Food Pantry
Care Corps. Inc,"Requirements: Driver's License, photo ID, and proof of residency (no ID required to receive USDA/TEFAP food).",Details: USDA/TEFAP Provider.,"549 N H St, Fremont, NE 68025","549 N H St, Fremont, NE 68025",549 N H St,Fremont,NE,68025,(402) 721-3125,Tues 10:00 am - 2:00 pm; Wed 4:00 pm - 6:00 pm; Thurs 5:00 pm - 7:00 pm,Food Pantry
Catholic Charities (CC) Juan Diego Center,"Requirements: Pandemic - none / post pandemic photo id, piece of mail with matching address, TEFAP form if applicable (no ID required to receive USDA/TEFAP food).",Details: USDA/TEFAP Provider.,"5211 S 31St St, Omaha, NE 68107","5211 S 31St St, Omaha, NE 68107",5211 S 31St St,Omaha,NE,68107,(402) 731-5413,Mon - Tues 9:30 am - 11:30 am; Wed 4:00 pm - 6:00 pm; Thurs - Fri 9:30 am - 11:30 am,Food Pantry
Catholic Charities (CC) St Martin De Porres Pantry,"Requirements: Pandemic - none / post pandemic photo id, piece of mail with matching address, TEFAP form if applicable (no ID required to receive USDA/TEFAP food).",Details: USDA/TEFAP Provider.,"2111 Emmet St, Omaha, NE 68110","2111 Emmet St, Omaha, NE 68110",2111 Emmet St,Omaha,NE,68110,(402) 453-6363,Mon 9:00 am - 1:00 pm; Tues 2:00 pm - 4:00 pm; Fri 9:00 am - 1:00 pm,Food Pantry
Chappell Food Pantry,Requirements: None.,Details: USDA/TEFAP Provider.,"602 3rd St, Chappell, NE 69129","602 3rd St, Chappell, NE 69129",602 3rd St,Chappell,NE,69129,(308) 874-6419,"Thurs 2nd Thurs of each month, 5:00 pm - 7:00 pm",Food Pantry
Clair Cares Food Pantry,Requirements: Please call partner for more information.,NA,"5544 Ames Ave, Omaha, NE 68104","5544 Ames Ave, Omaha, NE 68104",5544 Ames Ave,Omaha,NE,68104,(402) 451-8322,Sat 3rd Sat of each month from 10:00 am - 2:00 pm,Food Pantry
Clarinda Community Center Thrift Store and Pantry,Requirements: None.,Details: USDA/TEFAP Provider.,"615 E Main St, Clarinda, IA 51632","615 E Main St, Clarinda, IA 51632",615 E Main St,Clarinda,IA,51632,(712) 542-3161,Tues - Fri 9:00 am - 2:00 pm,Food Pantry
Clarinda Community Center Thrift Store and Pantry,Requirements: None.,Details: USDA/TEFAP Provider.,"615 E Main St, Clarinda, IA 51632","615 E Main St, Clarinda, IA 51632",615 E Main St,Clarinda,IA,51632,712-542-3161,Tues - Fri 9:00 am - 2:00 pm,Food Pantry
Colfax County Food Pantry,Requirements: Proof of address.,NA,"1213 Colfax St, Schuyler, NE 68661","1213 Colfax St, Schuyler, NE 68661",1213 Colfax St,Schuyler,NE,68661,(402) 910-6434,"Wed 1st and 3rd Wed of each month, 4:00 pm - 6:00 pm",Food Pantry
Community Action Partnership Of Western Nebraska (CAPWN) - Gering,Requirements: Income based (no ID required to receive USDA/TEFAP food).,Details: USDA/TEFAP Provider.,"3350 10th St, Gering, NE 69341","3350 10th St, Gering, NE 69341",3350 10th St,Gering,NE,69341,(308) 633-3236,"Mon - Fri 9:00 am - 3:15 pm by appointment, someone there through noon each day",Food Pantry
Community Food Pantry,Requirements:None.,NA,"Open area south of the First Baptist Church: 412 S Alexandra St, Cairo, NE 68824","412 S Alexandra St, Cairo, NE 68824",412 S Alexandra St,Cairo,NE,68824,(308) 379-2663,"Mon 1st, 3rd, and 5th Mon of each month, 5:00 pm - 7:00 pm; Tues - Sat By appointment only",Food Pantry
Community Food Pantry Of Shenandoah,"Requirements: Referral from designated agency, TEFAP form if applicable (no ID required to receive USDA/TEFAP food).",Details: USDA/TEFAP Provider.,"1209 5th Ave, Shenandoah, IA 51601","1209 5th Ave, Shenandoah, IA 51601",1209 5th Ave,Shenandoah,IA,51601,(712) 246-2093,Tues 9:00 am - 11:30 am; Wed 5:00 pm - 7:00 pm; Fri 9:00 am - 11:30 am,Food Pantry
Community Making Cindness Pantry,Requirements: None.,Details: USDA/TEFAP Provider.,"122 West Potter Street, Elm Creek, NE 68836","122 West Potter Street, Elm Creek, NE 68836",122 West Potter Street,Elm Creek,NE,68836,(308) 293-2218,Mon - Tues By appointment. Please call partner for more information.; Wed 2nd Wednesday of the month 10:00 am- 2:00 pm.; Thurs - Sun By appointment. Please call partner for more information.,Food Pantry
Community Of Christ Food Pantry,"Requirements: Photo ID / schedule individual appointment in 10min increments, TEFAP form if applicable (no ID required to receive USDA/TEFAP food).",Details: USDA/TEFAP Provider.,"17 N 2nd St, Council Bluffs, IA 51503","17 N 2nd St, Council Bluffs, IA 51503",17 N 2nd St,Council Bluffs,IA,51503,(712) 328-8122,Mon - Fri 9:00 am - 11:00 am,Food Pantry
Community Shepherds,Requirements: None.,NA,"404 Francis St, Dalton, NE 69125","404 Francis St, Dalton, NE 69125",404 Francis St,Dalton,NE,69125,(308) 249-0207,"Sat 1st Sat of each month, 8:00 am - 10:30 am",Food Pantry
Cornerstone Fellowship Church,Requirements: Please call partner for more information.,NA,"434 1st Ave, Bayard, NE 69334","434 1st Ave, Bayard, NE 69334",434 1st Ave,Bayard,NE,69334,(217) 775-4243,Mon - Sun Please call partner for more information.,Food Pantry
Cozad Food Pantry,"Requirements: ID, and if first time must have 2 forms of ID (no ID required to receive USDA/TEFAP food).",Details: USDA/TEFAP Provider.,"105 East Hwy 30, Cozad, NE 69130","105 East Hwy 30, Cozad, NE 69130",105 East Hwy 30,Cozad,NE,69130,(308) 529-0415,Mon 1:00 pm - 5:00 pm; Wed 1:00 pm - 5:00 pm; Fri 1:00 pm - 5:00 pm,Food Pantry
Cozad Haymaker Food Pantry,Requirements: None.,Details: USDA/TEFAP Provider.,"410 W 9th St, Cozad, NE 69130","410 W 9th St, Cozad, NE 69130",410 W 9th St,Cozad,NE,69130,(308) 784-2747,Mon - Fri 8:00 am- 4:00 pm,Food Pantry
Cozad Haymaker Grand Generation Center,Requirements: None.,NA,"410 W 9th St, Cozad, NE 69130","410 W 9th St, Cozad, NE 69130",410 W 9th St,Cozad,NE,69130,(308) 784-2747,Mon - Fri 11:30 am - 12:30 pm,Meal Provider
Crawford Food Pantry,Requirements: None.,Details: USDA/TEFAP Provider.,"11 Paddock St, Crawford, NE 69339","11 Paddock St, Crawford, NE 69339",11 Paddock St,Crawford,NE,69339,(210) 843-0693,Mon 5:00 pm - 6:30 pm; Wed 10:00 am - 11:30 am,Food Pantry
Crescent Food Pantry,Requirements: Iowa photo ID.,NA,"720 Old Lincoln Hwy, Crescent , IA 51526","720 Old Lincoln Hwy, Crescent , IA 51526",720 Old Lincoln Hwy,Crescent,IA,51526,(402) 350-2900,Tues 5:00 pm - 7:00 pm; Sat 1:00 pm - 3:00 pm,Food Pantry
Crossroads Mission Ave - Hastings,Requirements: None.,Details: USDA/TEFAP Provider.,"702 W 14th St, Hastings, NE 68901","702 W 14th St, Hastings, NE 68901",702 W 14th St,Hastings,NE,68901,(402) 462-6460,"Mon - Sun 24/7, Please call partner for more information.","Meal Provider, Food Pantry"
Crossroads Mission Ave - Kearney,Requirements: None.,Details: USDA/TEFAP Provider.,"1404 E 39th St, Kearney, NE 68847","1404 E 39th St, Kearney, NE 68847",1404 E 39th St,Kearney,NE,68847,(308) 236-5688,"Mon - Sun 24/7, Please call partner for more information.","Meal Provider, Food Pantry"
Crossroads Mission Avenue-Grand Island,Requirements: None.,Details: USDA/TEFAP Provider.,"1910 W 9th St, Grand Island, NE 68803","1910 W 9th St, Grand Island, NE 68803",1910 W 9th St,Grand Island,NE,68803,https://www.crossroadsmission.com/,Mon - Sun 7:00 am - 7:00 pm,"Food Pantry, Meal Provider"
Crossroads Mission Avenue-Lexington,Requirements: None.,Details: USDA/TEFAP Provider.,"114 W 5th St, Lexington NE 68850","114 W 5th St, Lexington NE 68850",114 W 5th St,Lexington NE 68850,NA,NA,(308) 378-3502,Mon - Fri 10:00 am- 6:00 pm; Sat 10:00 am- 5:00 pm,Food Pantry
Crossroads Wesleyan Church,Requirements: None.,Details: USDA/TEFAP Provider.,"220 W 17th St, Imperial, NE 69033","220 W 17th St, Imperial, NE 69033",220 W 17th St,Imperial,NE,69033,(308) 882-5010,Thurs 4:00 pm - 6:00 pm,Food Pantry
Disciples Pantry,"Requirements: ID, Proof of address or referral form (no ID required to receive USDA/TEFAP food).",Details: USDA/TEFAP Provider.,"4401 S 23rd St, Omaha, NE 68107","4401 S 23rd St, Omaha, NE 68107",4401 S 23rd St,Omaha,NE,68107,(402) 502-7070,Mon 9:00 am - 2:30 pm; Thurs - Fri 9:00 am - 2:30 pm,Food Pantry
Dunlap Community Food Pantry,Requirements: Proof of residency (no ID required to receive USDA/TEFAP food).,Details: USDA/TEFAP Provider.,"714 Iowa Ave, Dunlap, IA 51529","714 Iowa Ave, Dunlap, IA 51529",714 Iowa Ave,Dunlap,IA,51529,(712) 592-0549,Tues 3:00 pm - 7:00 pm; Sat 10:00 am - 2:00 pm,Food Pantry
East Lawn Food Pantry,Requirements: None.,NA,"2900 Grand Ave Lot 342, Kearney, NE 68847","2900 Grand Ave Lot 342, Kearney, NE 68847",2900 Grand Ave Lot 342,Kearney,NE,68847,(308) 367-7172,Tues 4:00 pm - 6:00 pm; Thurs 4:00 pm - 6:00 pm,Food Pantry
Eastern Nebraska Community Action Partnership (ENCAP),Requirements: CSFP form if applicable (no ID required to receive USDA/CSFP food). Age 60+. Details: USDA/CSFP Provider.,NA,"2406 Fowler Ave, Omaha, NE 68111","2406 Fowler Ave, Omaha, NE 68111",2406 Fowler Ave,Omaha,NE,68111,(402) 453-5656,Tues 9:00 am - 12:00 pm; Thurs 9:00 am - 12:00 pm,Food Pantry
Emerson–Hubbard Food Pantry,"Requirements: Proof of address, name, and telephone number (no ID required to receive USDA/TEFAP food).",Details: USDA/TEFAP Provider.,"103 W 3rd St, Emerson, NE 68733","103 W 3rd St, Emerson, NE 68733",103 W 3rd St,Emerson,NE,68733,(402) 369-4255,"Thurs 3rd Thurs of each month or by appointment, 2:00 pm - 5:00 pm or call for appointment",Food Pantry
Episcopal Church Of The Resurrection,Requirements: None.,NA,"3004 Belvedere Blvd, Omaha, NE 68111","3004 Belvedere Blvd, Omaha, NE 68111",3004 Belvedere Blvd,Omaha,NE,68111,(402) 455-7015,"Sat 1st, 2nd, 4th, and 5th Sat. each month: 10:00 am - 12:00 pm",Food Pantry
ESU2 - Educational Service Unit 2,Requirements: Must have documentation to show that client has current student at an ESU2 school in household.,NA,"2320 N Colorado Ave, Fremont, NE 68025","2320 N Colorado Ave, Fremont, NE 68025",2320 N Colorado Ave,Fremont,NE,68025,(402) 721-7710,Mon - Fri By appointment only,Food Pantry
Fairfield Community Food Pantry,Requirements: None.,Details: USDA/TEFAP Provider.,"205 E 6th St, Fairfield, NE 68938","205 E 6th St, Fairfield, NE 68938",205 E 6th St,Fairfield,NE,68938,(402) 726-2514,Mon - Fri Please call partner for more information.,Food Pantry
Faith Works Food Pantry,Requirements: None.,Details: USDA/TEFAP Provider.,"4814 Oaks Ln, Omaha, NE 68137","4814 Oaks Ln, Omaha, NE 68137",4814 Oaks Ln,Omaha,NE,68137,(402) 895-3394,"Thurs 2nd Thurs of each month, 5:00 pm - 7:00 pm; Sat 4th Sat of each month, 10:00 am - 12:00 pm",Food Pantry
First Baptish Church (FBC) Plattsmouth Pantry,Requirements: None.,Details: USDA/TEFAP Provider.,"16220 Hwy 75, Plattsmouth, NE 68048","16220 Hwy 75, Plattsmouth, NE 68048",16220 Hwy 75,Plattsmouth,NE,68048,(402) 297-0612,"Thurs 2nd Thurs of each month, 4:00 pm - 6:00 pm",Food Pantry
First Baptist Food Pantry,"Requirements: Proof of residency, photo id, TEFAP form if applicable (no ID required to receive USDA/TEFAP food).",Details: USDA/TEFAP Provider.,"540 1st Ave, Council Bluffs, IA 51502","540 1st Ave, Council Bluffs, IA 51502",540 1st Ave,Council Bluffs,IA,51502,(712) 322-2569,Tues 9:00 am - 12:00 pm,Food Pantry
First Presbyterian Church Pantry,"Requirements: Proof of address, ID, Social Security card (no ID required to receive USDA/TEFAP food).",Details: USDA/TEFAP Provider.,"216 S 34th St, Omaha, NE 68131","216 S 34th St, Omaha, NE 68131",216 S 34th St,Omaha,NE,68131,(402) 345-5383,Thurs 3:15 pm - 5:30 pm,Food Pantry
Franklin County Food Pantry,Requirements: None.,Details: USDA/TEFAP Provider.,"631 15th Ave, Franklin, NE 68939","631 15th Ave, Franklin, NE 68939",631 15th Ave,Franklin,NE,68939,(308) 425-3726,Wed 8:00 am - 4:00 pm by appointment,Food Pantry
Free Food & Many Blessings,Requirements: None.,Details: USDA/TEFAP Provider.,"122 7th St, Grand Island, NE 68801","122 7th St, Grand Island, NE 68801",122 7th St,Grand Island,NE,68801,(308) 379-4225,Mon - Sun Please call partner for more information.,Food Pantry
Freeway Ministries,Requirements: Residents only (no ID required to receive USDA/TEFAP food).,Details: USDA/TEFAP Provider.,"1030 S 24th St, Omaha, NE 68108","1030 S 24th St, Omaha, NE 68108",1030 S 24th St,Omaha,NE,68108,(417) 693-5237,Mon 24/7 - Please call partner for more information.,Meal Provider
Frontier County Food Pantry,Requirements: Please call partner for more information (no ID required to receive USDA/TEFAP food).,Details: USDA/TEFAP Provider.,"310 Center Ave, Curtis, NE 69025","310 Center Ave, Curtis, NE 69025",310 Center Ave,Curtis,NE,69025,(308) 379-5761,"Wed By appointment, 6:00 pm - 8:00 pm; Sun By appointment, 11:00 am - 1:00 pm",Food Pantry
FUMC Springfield Pantry,Requirements: None.,NA,"480 Main St, Springfield, NE 68059","480 Main St, Springfield, NE 68059",480 Main St,Springfield,NE,68059,(402) 253-2270,"Mon By appointment, Please call partner for more information.",Food Pantry
Gibbon Free Pantry,Requirements: None.,NA,"715 Front St, Gibbon, NE 68840","715 Front St, Gibbon, NE 68840",715 Front St,Gibbon,NE,68840,(308) 468-5521,Tues 6:30 pm - 8:00 pm; Thurs 6:30 pm - 8:00 pm,Food Pantry
Gosper County Food Pantry,Requirements: None.,Details: USDA/TEFAP Provider.,"601 Rush St, Elwood, NE 68937","601 Rush St, Elwood, NE 68937",601 Rush St,Elwood,NE,68937,(303) 880-1187,"Fri 2nd and 4th Fri of each month, 10:00 am - 12:00 pm",Food Pantry
Grace Ministries Food Pantry,"Requirements: ID, Social Security card for everyone, rent/utitlity bill, document of income (no ID required to receive USDA/TEFAP food).",Details: USDA/TEFAP Provider.,"114 E C St, North Platte, NE 69101","114 E C St, North Platte, NE 69101",114 E C St,North Platte,NE,69101,(308) 520-7458,Mon 1:00 pm - 3:00 pm; Wed 1:00 pm - 3:00 pm; Fri 1:00 pm - 3:00 pm,Food Pantry
Gracious Givers,Requirements: None.,NA,"305 Main St, Lewellen, NE 69147","305 Main St, Lewellen, NE 69147",305 Main St,Lewellen,NE,69147,(308) 778-6802,"Mon By appointment, please call partner for more information.; Tues 10:00 am - 2:00 pm; Wed - Thurs By appointment, please call partner for more information.; Fri Hours vary depending on bus hours for people with disabilities.; Sat 9:00 am - 2:00 pm",Food Pantry
Grant United Methodist Pantry,Requirements: Please call partner for more information (no ID required to receive USDA/TEFAP food).,Details: USDA/TEFAP Provider.,"500 Warren Ave, Grant, NE 69140","500 Warren Ave, Grant, NE 69140",500 Warren Ave,Grant,NE,69140,(308) 352-8251,"Mon - Sun By appointment, please call partner for more information.",Food Pantry
Greater Saint Paul Worship Center,Requirements: Please call partner for more information.,NA,"5116 Terrace Dr, Omaha, NE 68134","5116 Terrace Dr, Omaha, NE 68134",5116 Terrace Dr,Omaha,NE,68134,(402) 932-4415,Mon - Sun Please call partner for more information.,Food Pantry
Griswold Food Pantry,"Requirements: Griswold school district, TEFAP form if applicable (no ID required to receive USDA/TEFAP food).",Details: USDA/TEFAP Provider.,"100 Cass St, Griswold, IA 51535","100 Cass St, Griswold, IA 51535",100 Cass St,Griswold,IA,51535,(712) 778-4178,"Tues 2nd and 4th Tues of each month, 11:00 am - 2:00 pm and 5:30 pm - 7:00 pm",Food Pantry
Hamburg Interchurch Council Food Pantry,"Requirements: Photo ID, proof of residency, TEFAP form if applicable (no ID required to receive USDA/TEFAP food).",Details: USDA/TEFAP Provider.,"1008 Main St, Hamburg, IA 51640","1008 Main St, Hamburg, IA 51640",1008 Main St,Hamburg,IA,51640,(402) 209-6912,Thurs 5:00 am - 6:30 pm,Food Pantry
Hamilton County Food Pantry,Requirements: Proof of residency,NA,"1118 N St, Aurora, NE 68818","1118 N St, Aurora, NE 68818",1118 N St,Aurora,NE,68818,(402) 694-6979,Tues 11:30 am - 12:30 pm; Thurs 5:30 pm - 6:30 pm; Sat 9:00 am - 10:00 am,Food Pantry
